Year,Delta Precipitation (mm),Delta Temperature (C),Delta CO2 (ppm),Delta Ice (km^2)
1902.5,-0.6860639765476207,-0.05450544634132441,94.60860000000002,-0.043999999999999775
1903.5,1.0979798241089611,-0.058911593952983135,113.67699999999999,-0.009999999999999787
1904.5,-0.0015330229355640767,-0.043402310743237395,159.88119999999998,-0.041999999999999815
1905.5,-0.8281746852901051,0.04395283669597845,97.54220000000005,0.008000000000000184
1906.5,3.9141170891524326,0.027823259757430562,118.07739999999994,0.023999999999999844
1907.5,2.4031117434048612,0.02790581709490212,114.41039999999994,0.051999999999999956
1908.5,0.10666839109969714,-0.010874073116054993,94.60859999999994,0.051999999999999956
1909.5,5.299446456286091,0.004435750416740447,69.67299999999996,0.0620000000000001
1910.5,4.8321314019647845,-0.0521809076277572,141.54619999999994,0.05599999999999987
1911.5,-9.66812898775645,0.061776814968096797,47.67100000000001,0.023999999999999844
1912.5,5.432083979995559,-0.02578483359199808,13.934600000000046,-0.024000000000000198
1913.5,7.353413519573792,-0.038794619762024675,47.67100000000001,-0.003999999999999915
1914.5,5.817357302983192,0.06736441627866832,55.7384,0.03399999999999999
1915.5,-3.2317675461274122,0.00494309363684522,-5.133799999999974,0.01799999999999997
1916.5,4.427543541989303,-0.012403934586425969,-32.26959999999999,0.0
1917.5,-3.625100017243949,0.014441570385694824,68.93959999999997,0.0
1918.5,-3.9398215209520004,0.0773661407139091,-71.8732,-0.03399999999999999
1919.5,2.89181065701041,0.017810542047485178,-80.67399999999998,-0.08000000000000007
1920.5,-0.33721158820519576,0.043028539403339394,24.935599999999976,-0.09600000000000009
1921.5,4.759935333678618,0.00012085417026543865,115.14380000000001,-0.023999999999999844
1922.5,4.036995171580929,0.01978308041616028,31.536200000000008,-0.04599999999999973
1923.5,-5.61069149853372,0.021826105075595414,132.012,0.0019999999999999575
1924.5,-5.260928608380459,-0.028531068575041906,159.14780000000002,0.021999999999999888
1925.5,2.4178297982406547,-0.030114890498354897,69.67300000000004,0.04200000000000017
1926.5,10.232514226591139,-0.06674563143070866,133.47880000000004,0.021999999999999888
1927.5,-10.668116916709755,-0.038233387940442044,57.20519999999997,0.013999999999999702
1928.5,3.13830056906329,-0.004705911938839869,-31.536199999999916,-0.04200000000000017
1929.5,0.47365838937710125,0.05506991147898912,-157.68099999999995,-0.016000000000000014
1930.5,-1.7962605621652528,-0.02055548370409337,-126.14480000000003,-0.04600000000000008
1931.5,-9.260042248662694,0.10455056906362739,-126.14480000000003,0.04400000000000013
1932.5,11.833685980340784,0.011171610047709635,-19.06839999999993,0.08000000000000007
1933.5,-2.7927935851011396,0.0018695033626464409,139.346,0.03599999999999994
1934.5,-5.878391101913644,0.06155579985054853,265.49079999999987,0.021999999999999888
1935.5,1.9069132609064354,0.1030284675518713,182.6166,0.012000000000000099
1936.5,-2.8373521296788113,-0.05089749669483492,160.61459999999988,-0.05
1937.5,-8.064082600448069,0.09779114215094964,199.4848,-0.11799999999999997
1938.5,2.6215761338156653,-0.013214993964481891,149.61359999999985,0.038000000000000256
1939.5,-2.0423055699268162,-0.06271914697936812,97.54220000000005,0.020000000000000285
1940.5,-2.839825832039696,0.05543513249411536,182.61659999999992,0.05999999999999979
1941.5,1.1831936540787638,0.06573022647583518,140.0794,0.01799999999999997
1942.5,6.090661320918525,-0.08015397769731188,-101.94260000000013,0.0879999999999999
1943.5,0.699939644766664,0.007301115134794501,-70.40639999999985,0.03200000000000003
1944.5,5.569367994482491,0.05178637121342859,36.67000000000007,-0.0019999999999999575
1945.5,-2.9628556647700863,-0.11746630166120439,57.20519999999997,0.03200000000000003
1946.5,0.7279186066552938,-0.13202908547451225,26.402400000000124,0.06799999999999998
1947.5,2.690783755819575,-0.0649548772776912,344.69800000000015,0.05200000000000031
1948.5,-4.8479944818070635,-0.03818740300050756,387.9686,0.00799999999999983
1949.5,-4.930234523193894,-0.06344606828763108,295.5601999999999,0.053999999999999916
1950.5,0.07795223314301439,0.028159883888023172,272.8248,-0.06799999999999998
1951.5,0.589146404554026,0.055437144335231635,327.0964,-0.09600000000000009
1952.5,-3.4894981893437715,0.017953670173018032,302.1607999999998,-0.0740000000000002
1953.5,1.0411493360927806,-0.07223271253665561,300.69399999999985,-0.08000000000000007
1954.5,-0.4992102086570867,0.016592372248082122,348.3650000000001,-0.13200000000000003
1955.5,-3.69440420762096,-0.022380870264985475,358.6325999999999,-0.053999999999999916
1956.5,-5.594636144163678,0.030377507616254462,431.9725999999999,0.012000000000000099
1957.5,-7.057295223313031,0.010830387423124144,386.5018,-0.07199999999999988
1958.5,0.46765907915232674,0.09732906535609978,295.5601999999999,-0.04599999999999973
1959.5,-0.06889722365913258,-0.0334548341668139,305.09439999999995,0.0
1960.5,2.145402655630028,0.036537334023105925,368.90020000000004,0.07399999999999984
1961.5,7.53985342300457,-0.08977733229867084,396.76939999999996,-0.019999999999999928
1962.5,-3.0494352474572226,0.009045812496404081,411.43739999999997,0.053999999999999916
1963.5,4.982125366441187,-0.03162154394434822,519.2472000000001,0.0259999999999998
1964.5,4.266353681669466,0.029282203828253906,518.5138,-0.03200000000000003
1965.5,1.7145533712709493,-0.07991729895958972,537.5822000000001,-0.053999999999999916
1966.5,-7.030503535093089,0.049944746220615066,575.7189999999998,0.0259999999999998
1967.5,0.7714080013800639,0.04036356843133806,676.9282,-0.003999999999999915
1968.5,-6.578403172960793,0.01234063344253702,674.7279999999998,-0.03200000000000003
1969.5,-6.866194171407915,-0.053582298672197125,720.9322,0.06799999999999998
1970.5,1.5899706846008257,0.08789820083922457,768.6032000000002,-0.039999999999999855
1971.5,1.5186997758235976,0.016670546645969786,618.2561999999998,-0.10999999999999979
1972.5,4.153265218141087,0.017746953497737472,398.2362000000001,-0.05800000000000018
1973.5,-1.1014243835142679,-0.06663210611024742,481.1104000000003,-0.003999999999999915
1974.5,4.707208139332988,0.05926962982124166,476.7100000000002,-0.0620000000000001
1975.5,-4.054224866356117,-0.04634901132379223,346.89819999999963,0.011999999999999744
1976.5,-2.8024176582153815,-0.010496852905666465,547.1164000000005,0.023999999999999844
1977.5,-4.599728401448897,0.07507271368626238,527.3146,0.04600000000000008
1978.5,0.5087066735650069,0.21223077254699146,211.21919999999955,-0.016000000000000014
1979.5,-5.535484566304649,-0.020052020463300124,63.80579999999973,0.04200000000000017
1980.5,-4.307284014486117,0.06579604242110512,5.133800000000337,0.0620000000000001
1981.5,-3.213897223661024,0.07320910214404872,-65.27260000000024,-0.041999999999999815
1982.5,-4.857162441800119,-0.08430778295108805,90.94159999999974,-0.11999999999999993
1983.5,-7.807014140369551,-0.11211638500891077,333.6970000000001,0.01799999999999997
1984.5,-5.716522676322779,0.0344521325515947,468.64259999999996,-0.0879999999999999
1985.5,2.2438256595974053,0.09936864114502875,638.7913999999997,-0.08999999999999986
1986.5,-0.6378263493706754,0.01383018623900334,599.1878000000004,0.009999999999999787
1987.5,4.724643041903391,0.10951888256596191,504.5792000000001,-0.1200000000000001
1988.5,3.1174900844964895,0.09635188538254039,447.3739999999998,-0.158
1989.5,0.93641834799148,-0.014555239409094334,302.1608,0.05799999999999983
1990.5,-5.851324366269296,-0.1585973156291267,144.47980000000024,-0.13200000000000003
1991.5,-0.6824116226939168,-0.03339821520952544,123.94459999999962,-0.021999999999999888
1992.5,-3.028432488359863,-0.001676366614932334,198.75140000000027,-0.04799999999999986
1993.5,3.589004138645623,-0.03367369374030336,238.3550000000003,0.18400000000000016
1994.5,1.8918339368851775,0.06684198425015708,357.16580000000033,-0.158
1995.5,3.501298499740005,0.1565725412427385,352.7653999999995,0.013999999999999879
1996.5,2.7701293326437963,0.09169145542335375,252.28960000000006,-0.11999999999999993
1997.5,4.557762545265428,-0.007680131631886589,269.1577999999994,0.0879999999999999
1998.5,-4.031379548198174,0.06610945852733056,282.35899999999964,-0.19800000000000023
1999.5,-0.7328134161065464,0.10808242800483363,253.0229999999996,-0.10999999999999996
2000.5,-1.3547939299875906,0.0052110996148741155,566.9182000000001,-0.07999999999999989
2001.5,-4.979270563890191,-0.006670905903312274,877.8798000000003,-0.05
2002.5,-3.452840144851848,0.15549548772777094,973.9552000000003,-0.166
2003.5,6.422618554923656,0.03863791170892235,1058.2962,-0.15399999999999991
2004.5,3.7544507673733962,0.06558185319306986,1151.4379999999996,-0.2800000000000001
2005.5,2.3530988101397954,0.018834856584470927,1002.5578000000002,-0.18000000000000008
2006.5,-0.04762717709866138,0.08615537161579052,684.2621999999996,-0.13399999999999998
2007.5,1.030933781687395,-0.04963061159971209,787.6715999999993,-0.1
